Sitio,Cuadro,Estadio,Ind,MorSP,FT,TH,GH,TEX,AFT,EsT,LPT
J,3,A,20,sp01,0,1,0,0,38.58666667,1.97444508,11.11416948
KA,1,B,65,sp01,0,1,0,0,37.95666667,2.521217357,4.8638233
KA,1,B,66,sp01,0,1,0,0,43.715,1.924869679,10.49686452
KA,2,B,72,sp01,0,1,0,0,7.316008139,7.219301387,33.68573765
KA,3,B,75,sp01,0,1,0,0,11.79540455,1.451265054,6.857702998
TE,1,A,47,sp01,0,1,0,0,35.17666667,1.55171552,13.09049561
INTER,1,B,103,sp02,1,1,0,0,38.08,3.000460333,8.14812267
INTER,1,B,104,sp02,1,1,0,0,34.92666667,1.867250957,6.694127354
ARB,1,B,38,sp03,0,0,1,0,35.80666667,2.62198924,41.87777778
INTER,1,B,102,sp04,0,0,1,0,49.02666667,2.275061999,4.148840149
INTER,1,B,105,sp04,0,0,1,0,70.27,2.541961701,5.122764316
INTER,3,B,114,sp05,1,0,1,0,30.92,3.48157296,19.89040404
KI,1,C,90,sp05,1,0,1,0,32.36333333,2.671973766,29.57936508
KI,1,C,91,sp05,1,0,1,0,23.957,3.838237415,21.57775021
KI,2,C,93,sp05,1,0,1,0,34.94333333,8.481903756,18.4660759
KI,2,C,94,sp05,1,0,1,0,16.42,2.394938719,17.17437136
A,3,B,32,sp06,0,0,0,0,48.16333333,2.857082083,16.7969189
KA,3,B,78,sp06,0,0,0,0,84.41333333,2.319540537,47.40197262
A,3,B,30,sp07,1,0,0,0,48.18333333,4.139854704,61.9994709
ARB,2,B,39,sp07,1,0,0,0,30.03,3.897871573,112.1785714
ARB,2,B,40,sp07,1,0,0,0,29.07,3.481978167,37.89005848
MOY,3,C,120,sp08,1,0,1,0,31.21666667,4.328219733,17.90564084
MOY,1,C,116,sp09,0,0,1,0,23.67333333,2.804583074,15.20595014
ARB,3,B,46,sp10,0,0,1,0,4.338487619,3.948287766,12.27487562
EAR,2,A,60,sp11,1,1,1,1,25,2.237716522,3.859570134
KI,1,C,89,sp12,0,0,0,0,44.03666667,2.536016843,34.00694444
KE,2,B,82,sp13,1,0,1,0,21.72333333,2.161748794,72.97474747
KE,3,B,87,sp13,1,0,1,0,38.39333333,2.414686724,51.92326546
A,1,B,25,sp14,0,0,0,1,4.267270295,2.947430043,27.11111111
J,1,A,15,sp15,1,1,1,0,32.66,1.28349583,4.231446014
KA,2,B,71,sp16,1,1,0,0,32.98666667,2.309012842,4.994785035
KA,3,B,76,sp16,1,1,0,0,23.04,1.704779822,4.604116501
EAR,2,A,59,sp17,1,1,1,0,5.646955672,2.692067959,108.5675991
TE,2,A,48,sp18,1,0,0,1,20.19,2.073731651,20.65632552
TE,2,A,49,sp18,1,0,0,1,10.75906235,2.958719998,8.029401882
TE,3,A,50,sp18,1,0,0,1,9.779992222,1.931898798,5.429101854
TE,3,A,51,sp18,1,0,0,1,8.107374696,2.238948065,5.778882493
TE,3,A,53,sp18,1,0,0,1,13.08778373,2.366401478,5.895245982
KE,3,B,85,sp19,0,0,0,0,9.073333333,1.925199152,18.58700855
ARB,1,B,36,sp20,1,0,0,0,39.19333333,2.368465475,18.19196711
KE,2,B,83,sp21,0,0,0,1,40.59333333,1.745694946,28.0815508
ARB,1,B,35,sp21,0,0,0,1,19.80333333,2.508927043,25.82564103
INTER,1,B,101,sp22,0,1,1,0,207.6333333,1.090740157,2.828954215
KE,2,B,84,sp23,0,0,0,0,22,2.152280595,88.14285714
KE,3,B,86,sp23,0,0,0,0,41.7,17.59168908,24.28253058
KA,2,B,73,sp24,1,0,0,1,43.59333333,2.762142897,13.78987241
KA,3,B,77,sp24,1,0,0,1,27.61666667,2.216649482,8.206974507
KE,1,B,80,sp24,1,0,0,1,45.13,5.213484353,6.2454948
KE,2,B,81,sp24,1,0,0,1,41.42333333,2.625864006,7.86965612
A,1,B,22,sp24,1,0,0,1,37.77,3.222615748,16.69277875
A,2,B,27,sp24,1,0,0,1,42.45333333,2.68577735,12.30823542
A,2,B,28,sp24,1,0,0,1,40.87666667,3.036752577,14.60239178
A,3,B,33,sp24,1,0,0,1,42.83666667,3.234718842,11.17170228
IB,1,B,5,sp24,1,0,0,1,45.89666667,3.213251823,11.59396153
