Site,Estadio,Q0,Q1,Q2,FRic,CWM.FT,CWM.TH,CWM.GH,CWM.TEX,CWM.EsT,CWM.LPT,CWM.AFT
A,B,6.988011988,6.132552364,5.290697674,0.110569482,0,0,0,0,2.670331864,41.41280763,64.62358182
ARB,B,7.818181818,7.18201555,6.470588235,0.079079446,0,0,0,0,2.596575118,40.2725689,19.31295538
EAR,A,3.177777778,2.029789141,1.6,0.003959973,1,1,0,0,2.086709177,16.77385079,32.41855063
IB,B,4.177777778,3.476652635,3.076923077,0.029170633,1,0,0,1,2.504908186,13.65698938,35.19843696
INTER,B,9.010989011,8.71877771,8.348623853,0.302867654,1,1,1,0,2.488596829,18.16323468,99.61622089
J,A,4.634735527,4.110009929,3.684210526,0.064795769,1,1,0,0,2.062635426,8.708113093,15.44318993
KA,B,6.493506494,5.726233691,5.027624309,0.160357333,0,1,0,0,2.625671532,18.94602094,39.16068122
KE,B,6.266666667,5.967431937,5.714285714,0.105067448,0,0,0,0,4.102812364,41.39287027,48.99490434
KI,C,6.192307692,5.516067277,4.905660377,0.181318509,1,0,0,0,2.625119121,20.61042377,55.47580692
M,C,4.616409829,4.65723178,4.545454545,0.001139466,1,0,0,0,3.464102899,17.08454203,41.255
MOY,C,4.616409829,4.65723178,4.545454545,0.039416598,1,0,1,0,2.950462791,36.18639789,19.60066908
TE,A,3.495535714,2.450924296,1.891891892,0.000869174,1,0,0,1,2.342589133,9.380754377,14.66384574
