Sitio,Estadio,N,E,S,O,Cobertura
M1,C,5,4,9,9,92.98
M2,C,21,11,7,16,85.7
M3,C,14,9,9,11,88.82
IB1,B,23,26,33,19,73.74
IB2,B,26,15,36,27,72.96
IB3,B,47,26,11,3,77.38
J1,A,83,96,92,86,7.18
J2,A,75,81,96,94,10.04
J3,A,94,72,96,76,12.12
A1,B,21,11,16,18,82.84
A2,B,14,11,17,11,86.22
A3,B,16,10,23,28,79.98
ARB1,B,30,31,15,19,75.3
ARB2,B,29,31,12,9,78.94
ARB3,B,9,24,7,26,82.84
TE1,A,93,78,96,96,5.62
TE2,A,95,92,84,92,5.62
TE3,A,96,95,96,96,0.42
EAR1,A,66,96,84,93,11.86
EAR2,A,74,40,89,82,25.9
EAR3,A,89,82,81,91,10.82
KA1,B,19,13,38,40,71.4
KA2,B,20,15,27,38,74
KA3,B,7,15,11,26,84.66
KE1,B,14,7,17,11,87.26
KE2,B,9,15,4,5,91.42
KE3,B,13,11,2,10,90.64
KI1,C,5,6,5,7,94.02
KI2,C,3,5,2,6,95.84
KI3,C,4,7,2,6,95.06
INTER1,B,8,21,13,23,83.1
INTER2,B,2,26,9,5,89.08
INTER3,B,13,14,5,7,89.86
MOY1,C,8,15,1,7,91.94
MOY2,C,12,8,6,11,90.38
MOY3,C,5,7,10,8,92.2
